"NOMBRE DEL PRODUCTO","DESCRIPCION DEL PRODUCTO","MARCA","MODELO","SISTEMA","COMPONENTE","ESTADO","PRECIO","CANTIDAD","IMAGEN"
"COMPUTADOR 4M50","","Mitsubishi","Varios","Sistema eléctrico","Módulos de control","Nuevo","$0","1","Producto4.JPG"
"AXIAL DIRECCIÓN","","Suzuki","Swift","Sistema de transmisión","Dirección","Nuevo","$0","1","Producto1.JPG"
"BIDON 5W30","","Great Wall","Wingle 6","Mantenimiento general","Aceite","Nuevo","$78,000","1","Producto28.JPG"
"BIELETAS","","Suzuki","Swift","Suspensión","Barras estabilizadoras","Nuevo","$0","1","Producto1.JPG"
"BOMBA ACEITE","","Mazda","6","Motor","Bomba de aceite","Nuevo","$12,000","1","Producto25.jpg"
"BOMBA ACEITE","","Chevrolet","Cruze 1.8","Motor","Bomba de aceite","Nuevo","$75,000","1","Producto5.JPG"
"BOMBA DE AGUA","","Mitsubishi","Varios","Sistema de refrigeración","Bomba de agua","Nuevo","$0","1","Producto9.JPG"
"BOMBA DE AGUA OM 651","","Mercedes-Benz","Sprinter","Sistema de refrigeración","Bomba de agua","Nuevo","$0","1","Producto15.JPG"
"CILINDRO FRENO","","Mitsubishi","Fuso","Frenos","Cilindro de freno","Nuevo","$135,000","1","Producto12.JPG"
"COMPRESOR AIRE ACONDICIONADO","","Great Wall","Wingle 6","Mantenimiento general","Compresor aire acondicionado","Nuevo","$539,000","1","Producto26.jpg"
"DISCOS FRENO DELANTEROS","","Suzuki","Swift","Frenos","Discos","Nuevo","$0","1","Producto1.JPG"
"EMPAQUETADURA CULATA METALICA","","Nissan","RD28","Motor","Empaquetaduras","Nuevo","$26,000","1","Producto31.JPG"
"FILTRO ACEITE","","Great Wall","Wingle 6","Mantenimiento general","Filtro de aceite","Nuevo","$26,000","1","Producto28.JPG"
"FILTRO AIRE","","Great Wall","Wingle 6","Mantenimiento general","Filtro de aire","Nuevo","$32,000","1","Producto28.JPG"
"FILTRO PETROLEO","","Great Wall","Wingle 6","Sistema de combustible","Filtro de combustible","Nuevo","$36,000","1","Producto28.JPG"
"FILTRO POLEN","","Great Wall","Wingle 6","Mantenimiento general","Filtro de polen o habitáculo","Nuevo","$25,000","1","Producto28.JPG"
"FOCO TRASERO","","Chevrolet","Dmax 2014","Accesorios","Focos","Nuevo","$0","1","Producto11.JPG"
"FOCO TRASERO","","Chevrolet","Colorado","Accesorios","Focos","Nuevo","$0","1","Producto16.JPG"
"FOCO TRASERO DERECHO","","Great Wall","Safe 2.2","Accesorios","Focos","Nuevo","$28,000","1","Producto20.JPG"
"FOCO TRASERO EXTERIOR","","Mazda","3","Accesorios","Focos","Usado","$45,000","1","Producto27.JPG"
"FOCO TRASERO EXTERIOR","","Mazda","3","Accesorios","Focos","Nuevo","$58,000","1","Producto30.JPG"
"FOCO TRASERO INTERIOR BLANCO","","Mazda","3","Accesorios","Focos","Nuevo","$55,000","1","Producto27.JPG"
"GOMA BARRA ESTABILIZADORA CENTRAL","","Suzuki","Swift","Suspensión","Barras estabilizadoras","Nuevo","$0","1","Producto1.JPG"
"KIT EMBRAGUE","","Chevrolet","4.8","Sistema de transmisión","Embrague","Nuevo","$0","1","Producto7.JPG"
"MOTOR","","Mitsubishi","Rosa","Motor","Motor","Nuevo","$0","1","Producto2.JPG"
"MOTOR","","Mitsubishi","Fuso","Motor","Motor","Nuevo","$0","1","Producto3.JPG"
"NEUMATICOS 235/78/15 MIXTO","","Varios","Varios","Suspensión","Neumáticos","Nuevo","$217,800","1","Producto29.JPG"
"NEUMÁTICOS","","Toyota","Varios","Suspensión","Neumáticos","Nuevo","$88,900","1","Producto24.jpg"
"PARACHOQUE TRASERO","","Mazda","3","Carrocería","Parachoques","Usado","$95,000","1","Producto27.JPG"
"PARACHOQUE TRASERO","","Mazda","3","Carrocería","Parachoques","Nuevo","$19,900","1","Producto30.JPG"
"PORTA FILTRO DE AIRE","","Mitsubishi","Rosa","Mantenimiento general","Porta filtro de aire","Nuevo","$120,000","1","Producto19.JPG"
"PORTALON SOLO LATA","","Mazda","3","Carrocería","Portalón","Nuevo","$170,000","1","Producto27.JPG"
"RETEN TAPA TRASERO CIGUEÑAL","","Mazda","6","Motor","Retenes","Nuevo","$120,000","1","Producto25.jpg"
"SENSOR DE LEVA","","Mitsubishi","4P10","Sistema eléctrico","Sensores","Nuevo","$110,000","1","Producto21.JPG"
"SENSOR FILTRO DESCANTADOR PETRÓLEO","","Great Wall","Wingle 6","Sistema eléctrico","Sensores","Nuevo","$60,000","1","Producto26.jpg"
"SOPORTE MOTOR","","Suzuki","Swift","Motor","Soportes","Nuevo","$0","1","Producto1.JPG"
"TAMBOR","","Mitsubishi","Rosa","Frenos","Tambor de freno","Nuevo","$58,000","1","Producto6.JPG"
"TELECOMANDO","","Mercedes-Benz","Sprinter","Mantenimiento general","Telecomando","Nuevo","$69,000","1","Producto22.JPG"
"TENSOR CORREAS ALTERNADOR 6PK Y 7PK","","Varios","Varios","Mantenimiento general","Correas de distribución","Nuevo","$150,000","1","Producto23.JPG"
"TENSOR, CORREA Y ALTERNADOR","","Chevrolet","Captiva 2.2","Mantenimiento general","Correas de distribución","Nuevo","$91,000","1","Producto10.JPG"
"TURBO","","Mitsubishi","Canter","Motor","Turbocompresor","Nuevo","$455,000","1","Producto14.JPG"
"ÓPTICOS Y FOCOS TRASEROS","","Varios","Varios","Accesorios","Focos","Nuevo","$0","1","Producto2.JPG"
